PlantCode,AppleCode,Exertis_Part_Number,Description,OracleItemStatus,AppleItemStatus,GoodStock,BacklogVMI,OraclePoQty,Safety_Stock,Gross_Fcst_cw,Gross_Fcst_wk1,Gross_Fcst_wk2,Gross_Fcst_wk3,InTransit,OracleInStockQty,ToOrder,DemandQtyExertisToBring215,ToOrderAllLocales,NoOfLocalesToOrder,innerqty,Outerqty,CartonAssignedQty
LU10,H9374ZM/B,STET1000400@APP,LaCie 1TB Porsche P9223 Mobile USB 3-ZML,Active,Live,348,35,0,439,68,68,68,68,70,2188,56,56,81,2,10,10,60
LU10,H9377ZM/B,STEU1000400@APP,LaCie 1TB Rugged Triple USB 3.0,Active,Live,176,8,160,258,40,40,40,40,80,236,10,10,44,2,10,10,10
LU10,H9379ZM/B,STEW3000400@APP,LaCie 3TB Porsche P9233 Desktop USB 3.0,Active,Live,82,11,210,123,19,19,19,19,24,102,28,28,28,1,10,10,30
LU10,HA131LL/A,BRFHA131LL/A@APP,Bretford Double MobilePro Mount Clamp,Active,Live,9,0,8,20,3,3,3,3,4,33,7,7,36,2,1,1,1
LU10,HA315PA/A,PLA8893808@APP,Plantronics Voyager Legend BT Head Set,Active,Live,8,0,0,13,2,2,2,2,0,53,5,5,21,4,3,12,6
LU10,HB716ZM/A,BRFHB716ZM/A@APP,Bretford Powersync Cart for iPad - Lightning,Active,Live,1,1,0,2,0,0,0,0,1,14,1,1,1,1,1,1,1
LU10,HB856ZM/B,STEW4000400@APP,LaCie 4TB Porsche P'9233 USB 3.0 Desktop Drive,Active,Live,166,25,330,258,40,40,40,40,24,270,93,93,169,4,10,10,100
LU10,HC457VC/A,RHAMA750I@APP,RHA MA750i in-ear headphones,Active,Live,144,11,0,138,34,34,30,0,14,1,-9,,7,1,12,48,0
LU10,HD193ZM/A,CEL-31145@APP,CELESTRON NEXSTAR 130SLT SKYQLINK-ZML,Active,Live,0,0,4,0,0,0,0,0,0,0,0,,0,0,1,1,0
LU10,HD505ZM/A,KENK67822WW@APP,KENSINGTON SAFESTAND F/IMAC 2010+-ZML,Active,Live,36,0,0,20,3,3,3,3,0,99,-16,,26,3,4,4,0
LU10,HD575ZM/B,TECH21-5064@APP,HD575ZM/B:TECH21 IMPACT SNAP FOR MBA11 - BLACK-ZML,Active,Live,42,6,30,71,11,11,11,11,1,106,34,34,34,1,5,15,35
LU10,HD576ZM/B,TECH21-5066@APP,HD576ZM/B:TECH21 IMPACT SNAP FOR MBA13 - BLACK-ZML,Active,Live,162,5,50,155,24,24,24,24,41,564,-43,,18,2,5,15,0
LU10,HD577ZM/B,TECH21-5068@APP,HD577ZM/B:TECH21 IMPACT SNAP FOR MBP13 - BLACK-ZML,Active,Live,39,8,0,52,8,8,8,8,1,360,20,20,20,1,5,5,20
LU10,HD579ZM/B,TECH21-5070@APP,HD579ZM/B:TECH21 IMPACT SNAP FOR MBPR13 - BLK-ZML,Active,Live,429,18,9,387,60,60,60,60,18,1166,-42,,39,2,5,15,0
LU10,HD580ZM/B,TECH21-5072@APP,HD580ZM/B:TECH21 IMPACT SNAP FOR MBPR15 - BLK-ZML,Active,Live,187,12,500,233,36,36,36,36,48,368,10,10,54,3,5,10,10
LU10,HD581ZM/B,TECH21-5065@APP,HD581ZM/B:TECH21 IMPACT SNAP FOR MBA11 - CLEAR-ZML,Active,Live,54,4,0,26,4,4,4,4,0,436,-24,,3,2,5,15,0
LU10,HD582ZM/B,TECH21-5067@APP,HD582ZM/B:TECH21 IMPACT SNAP FOR MBA13 - CLEAR-ZML,Active,Live,108,3,0,59,9,9,9,9,0,574,-46,,15,2,5,15,0
LU10,HD583ZM/B,TECH21-5069@APP,HD583ZM/B:TECH21 IMPACT SNAP FOR MBP13 - CLEAR-ZML,Active,Live,34,1,0,26,4,4,4,4,0,278,-7,,11,2,5,10,0
LU10,HD584ZM/B,TECH21-5071@APP,HD584ZM/B:TECH21 IMPACT SNAP FOR MBPR13 - CLR-ZML,Active,Live,164,8,0,142,22,22,22,22,5,752,-19,,5,1,5,15,0
LU10,HD585ZM/B,TECH21-5073@APP,HD585ZM/B:TECH21 IMPACT SNAP FOR MBPR15 - CLR-ZML,Active,Live,100,4,150,78,12,12,12,12,5,297,-23,,2,1,5,10,0
LU10,HD587ZM/B,TECH21-5086@APP,HD587ZM/B:TECH21 IMPACT SNAP FOR MBA13 - PINK-ZML,Active,Live,81,2,0,46,7,7,7,7,0,545,-33,,0,0,10,100,0
LU10,HD588ZM/B,TECH21-5084@APP,HD588ZM/B:TECH21 IMPACT SNAP FOR MBA11 - PINK-ZML,Active,Live,30,2,0,20,3,3,3,3,0,163,-8,,0,0,10,100,0
LU10,HD589ZM/B,TECH21-5088@APP,HD589ZM/B:TECH21 IMPACT SNAP FOR MBP13 - PINK-ZML,Active,Live,9,3,0,20,3,3,3,3,1,225,13,13,16,2,10,100,20
LU10,HD591ZM/B,TECH21-5092@APP,HD591ZM/B:TECH21 IMPACT SNAP FOR MBPR15 - PINK-ZML,Active,Live,31,1,0,13,2,2,2,2,0,297,-17,,0,0,10,100,0
LU10,HD592ZM/B,TECH21-5090@APP ,HD592ZM/B:TECH21 IMPACT SNAP FOR MBPR13 - PINK-ZML,Active,Live,83,2,0,46,7,7,7,7,0,526,-35,,0,0,10,100,0
LU10,HD594ZM/B,TECH21-5085@APP,HD594ZM/B:TECH21 IMPACT SNAP FOR MBA11 - PURPL-ZML,Active,Live,26,0,0,7,1,1,1,1,0,154,-19,,3,1,10,100,0
LU10,HD595ZM/B,TECH21-5087@APP,HD595ZM/B:TECH21 IMPACT SNAP FOR MBA13 - PURPL-ZML,Active,Live,75,2,0,39,6,6,6,6,0,564,-34,,3,1,10,100,0
LU10,HD596ZM/B,TECH21-5091@APP,HD596ZM/B:TECH21 IMPACT SNAP FOR MBPR13 - PRPL-ZML,Active,Live,113,4,0,59,9,9,9,9,0,528,-50,,0,0,10,100,0
LU10,HD597ZM/B,TECH21-5089@APP,HD597ZM/B:TECH21 IMPACT SNAP FOR MBP13 - PURPL-ZML,Active,Live,11,1,0,7,1,1,1,1,0,374,-3,,0,0,10,100,0
LU10,HD598ZM/B,TECH21-5093@APP,HD598ZM/B:TECH21 IMPACT SNAP FOR MBPR15 - PRPL-ZML,Active,Live,35,6,0,33,5,5,5,5,0,191,4,4,7,2,10,100,10
LU10,HE405ZM/A,BRFHE405ZM/A@APP,BRETFORD PSYNC CART 40 IPAD AND MINI-ZML,Active,Live,2,0,0,2,0,0,0,0,0,16,0,,1,1,1,1,0
LU10,HE406ZM/A,BRFHE406ZM/A@APP,BRETFORD PSY STATION 20 IPAD AND MIN-ZML,Active,Live,2,0,1,2,1,1,1,1,0,2,0,,1,1,1,1,0
LU10,HE662LL/B,SANSDSQXSG-064G-GAACA@APP,SANDISK 64GB EXTREME MICROSD CARD-USA,Active,Live,44,5,0,97,15,15,15,15,9,257,49,49,85,2,20,100,60
LU10,HE728ZM/B,TECH215182@APP,Tech21 Anti Glare Impact Shield for iPhone 5s,Active,Live,550,47,0,704,109,109,109,109,128,1168,73,73,694,4,10,100,100
LU10,HF2V2ZM/B,STET2000400@APP, LaCie 2TB Porsche Design P9223 Mobile Drive,Active,Live,134,11,0,168,26,26,26,26,15,1094,30,30,75,4,10,10,30
LU10,HFA22ZM/A,LAC-9000477@AP,LACIE 1TB LBD THUNDERBOLT 2-ZML,Active,Live,5,0,0,7,1,1,1,1,1,10,1,1,9,2,4,4,4
LU10,HFJE2ZM/B,TECH215183@APP,TECH21 PATRIOT IPH5S SMOKE-ZML,Active,Live,18,0,0,13,2,2,2,2,0,149,-5,,0,0,5,50,0
LU10,HFLD2B/B,LOG920-007670@APP,LOGITECH ULTRATHIN 2.0 IPAD MINI SG-GBR,Active,Live,143,3,4,123,19,19,19,19,0,57,-17,,5,1,4,8,0
LU10,HFLD2D/B,LOG920-007664@APP,LOGITECH ULTRATHIN 2.0 IPAD MINI SG-DEU,Active,Live,0,0,0,0,0,0,0,0,0,13,0,,0,0,4,8,0
LU10,HFLD2E/B,LOG920-007668@APP,LOGITECH ULTRATHIN 2.0 IPAD MINI SG-SPA,Active,Live,0,0,0,0,0,0,0,0,0,37,0,,0,0,4,8,0
LU10,HFLD2F/B,LOG920-007665@APP,LOGITECH ULTRATHIN 2.0 IPAD MINI SG-FRA,Active,Live,0,0,0,0,0,0,0,0,0,81,0,,0,0,4,8,0
LU10,HFLD2H/B,LOG920-007669@APP,LOGITECH ULTRATHIN 2.0 IPAD MINI SG-NOB,Active,Live,0,0,0,0,0,0,0,0,0,19,0,,0,0,4,8,0
LU10,HFLD2SM/B,LOG920-007666@APP,LOGITECH ULTRATHIN 2.0 IPAD MINI SG-SWM,Active,Live,0,0,24,0,0,0,0,0,0,0,0,,0,0,4,8,0
LU10,HFLD2T/B,LOG920-007667@APP,LOGITECH ULTRATHIN 2.0 IPAD MINI SG-ITA,Active,Live,0,0,0,0,0,0,0,0,0,9,0,,0,0,4,8,0
LU10,HFLF2B/B,LOG920-007695@APP,LOGITECH ULTRATHIN 2.0 IPAD AIR SG-GBR,Active,Live,79,4,0,91,14,14,14,14,2,0,14,,0,0,4,8,0
LU10,HFLF2D/B,LOG920-007689@APP,LOGITECH ULTRATHIN 2.0 IPAD AIR SG-DEU,Active,Live,0,0,16,0,0,0,0,0,0,3,0,,0,0,4,8,0
LU10,HFLF2E/B,LOG920-007693@APP,LOGITECH ULTRATHIN 2.0 IPAD AIR SG-SPA,Active,Live,0,0,0,0,0,0,0,0,0,8,0,,8,1,4,8,0
LU10,HFLF2F/B,LOG920-007690@APP,LOGITECH ULTRATHIN 2.0 IPAD AIR SG-FRA,Active,Live,0,0,0,0,0,0,0,0,0,7,0,,0,0,4,8,0
LU10,HFLF2H/B,LOG920-007694@APP,LOGITECH ULTRATHIN 2.0 IPAD AIR SG-NOB,Active,Live,0,0,8,0,0,0,0,0,0,0,0,,0,0,4,8,0
LU10,HFLF2SM/B,LOG920-007691@APP,LOGITECH ULTRATHIN 2.0 IPAD AIR SG-SWM,Active,Live,0,0,0,0,0,0,0,0,0,4,0,,0,0,4,8,0
LU10,HFLF2T/B,LOG920-007692@APP,LOGITECH ULTRATHIN 2.0 IPAD AIR SG-ITA,Active,Live,0,0,8,0,0,0,0,0,0,0,0,,0,0,4,8,0
LU10,HFSP2LL/A,BRFHFSP2LL/A@APP,BRETFORD MOBILEPRO WALL MOUNT V2-USA,Active,Live,18,0,0,7,1,1,1,1,0,21,-11,,5,1,1,1,0
LU10,HFSQ2ZM/B,SANSDWS1-064G-GA46@APP,SANDISK WIRELESS MEDIA DRIVE 64GB-ZML,Active,Live,110,11,460,168,26,26,26,26,32,174,37,37,45,3,20,20,40
LU10,HFUD2ZM/B,STDS1000101@APP,Seagate 1TB Backup Plus for Mac USB 3.0 Portable v2,Active,Live,3208,290,3360,3690,572,572,572,572,827,5532,-55,,819,4,4,4,0
