PlantCode,AppleCode,Exertis_Part_Number,Description,OracleItemStatus,AppleItemStatus,GoodStock,BacklogVMI,OraclePoQty,Safety_Stock,Gross_Fcst_cw,Gross_Fcst_wk1,Gross_Fcst_wk2,Gross_Fcst_wk3,InTransit,OracleInStockQty,ToOrder,DemandQtyExertisToBring215,ToOrderAllLocales,NoOfLocalesToOrder,innerqty,Outerqty,CartonAssignedQty
LU10,H9374ZM/B,STET1000400@APP,LaCie 1TB Porsche P9223 Mobile USB 3-ZML,Active,Live,382,20,0,439,68,68,68,68,0,2107,77,77,116,3,10,10,80
LU10,H9377ZM/B,STEU1000400@APP,LaCie 1TB Rugged Triple USB 3.0,Active,Live,278,14,160,258,40,40,40,40,0,192,-6,,9,1,10,10,0
LU10,H9379ZM/B,STEW3000400@APP,LaCie 3TB Porsche P9233 Desktop USB 3.0,Active,Live,77,10,210,123,19,19,19,19,0,73,56,56,57,2,10,10,60
LU10,HA131LL/A,BRFHA131LL/A@APP,Bretford Double MobilePro Mount Clamp,Active,Live,21,0,31,20,3,3,3,3,0,4,-1,,8,1,1,1,0
LU10,HA315PA/A,PLA8893808@APP,Plantronics Voyager Legend BT Head Set,Active,Live,7,0,0,13,2,2,2,2,0,32,6,6,15,4,3,12,12
LU10,HB716ZM/A,BRFHB716ZM/A@APP,Bretford Powersync Cart for iPad - Lightning,Active,Live,1,1,0,2,0,0,0,0,0,13,2,2,2,1,1,1,2
LU10,HB856ZM/B,STEW4000400@APP,LaCie 4TB Porsche P'9233 USB 3.0 Desktop Drive,Active,Live,192,10,330,258,40,40,40,40,0,101,76,76,99,4,10,10,80
LU10,HC457VC/A,RHAMA750I@APP,RHA MA750i in-ear headphones,Active,Live,151,3,0,138,34,34,30,0,0,0,-10,,0,0,12,48,0
LU10,HD193ZM/A,CEL-31145@APP,CELESTRON NEXSTAR 130SLT SKYQLINK-ZML,Active,Live,0,0,37,0,0,0,0,0,0,0,0,,0,0,1,1,0
LU10,HD505ZM/A,KENK67822WW@APP,KENSINGTON SAFESTAND F/IMAC 2010+-ZML,Active,Live,36,0,0,20,3,3,3,3,0,73,-16,,1,1,4,4,0
LU10,HD575ZM/B,TECH21-5064@APP,HD575ZM/B:TECH21 IMPACT SNAP FOR MBA11 - BLACK-ZML,Active,Live,43,5,30,71,11,11,11,11,0,72,33,33,34,2,5,15,35
LU10,HD576ZM/B,TECH21-5066@APP,HD576ZM/B:TECH21 IMPACT SNAP FOR MBA13 - BLACK-ZML,Active,Live,187,7,50,155,24,24,24,24,0,546,-25,,25,2,5,15,0
LU10,HD577ZM/B,TECH21-5068@APP,HD577ZM/B:TECH21 IMPACT SNAP FOR MBP13 - BLACK-ZML,Active,Live,32,2,0,52,8,8,8,8,0,340,22,22,22,1,5,5,25
LU10,HD579ZM/B,TECH21-5070@APP,HD579ZM/B:TECH21 IMPACT SNAP FOR MBPR13 - BLK-ZML,Active,Live,403,23,9,387,60,60,60,60,0,1127,7,7,56,4,5,15,10
LU10,HD580ZM/B,TECH21-5072@APP,HD580ZM/B:TECH21 IMPACT SNAP FOR MBPR15 - BLK-ZML,Active,Live,256,9,400,233,36,36,36,36,0,314,-14,,36,3,5,10,0
LU10,HD581ZM/B,TECH21-5065@APP,HD581ZM/B:TECH21 IMPACT SNAP FOR MBA11 - CLEAR-ZML,Active,Live,49,3,0,26,4,4,4,4,0,433,-20,,1,1,5,15,0
LU10,HD582ZM/B,TECH21-5067@APP,HD582ZM/B:TECH21 IMPACT SNAP FOR MBA13 - CLEAR-ZML,Active,Live,100,2,0,59,9,9,9,9,0,559,-39,,4,2,5,15,0
LU10,HD583ZM/B,TECH21-5069@APP,HD583ZM/B:TECH21 IMPACT SNAP FOR MBP13 - CLEAR-ZML,Active,Live,32,0,0,26,4,4,4,4,0,267,-6,,4,1,5,10,0
LU10,HD584ZM/B,TECH21-5071@APP,HD584ZM/B:TECH21 IMPACT SNAP FOR MBPR13 - CLR-ZML,Active,Live,155,4,0,142,22,22,22,22,0,755,-9,,27,2,5,15,0
LU10,HD585ZM/B,TECH21-5073@APP,HD585ZM/B:TECH21 IMPACT SNAP FOR MBPR15 - CLR-ZML,Active,Live,97,3,150,78,12,12,12,12,0,295,-16,,12,2,5,10,0
